Age,Gender,Income,Education,Employment,Online_Shop_Frequency,Avg_Spend_Per_Order,Frequent_Categories,Device_Used,Main_Purchase_Factor,Try_New_Platform,Pay_Faster_Delivery,Become_Regular_If_Personalized,Max_Loyalty_Program_Pay,Abandon_Cart_If_Slow,Allow_Data_Use_For_Rec,Checkout_Problem,Attn_Personalized_Recs,Price_Sensitivity,Switch_For_Discount,Shopping_Challenges,Desired_Features,Satisfaction_1_10,Preferred_Shop_Time,Would_Recommend
45-54,Male,$1000-$2999,Bachelor’s,Employed,1-2 times,$20-$49,Electronics,Mobile,Discounts,Likely,Yes,Likely,None,Sometimes,No,Changed Mind,Never,Not Very Sensitive,Very Likely,Poor Customer Service,"AR Product Previews,Live Chat Support",1,Morning,Yes
35-44,Female,$3000-$4999,High School,Employed,6-10 times,$50-$99,"Groceries,Health & Beauty",Mobile,Price,Very Unlikely,Yes,Likely,$5-9,Yes,No,High Shipping Costs,Rarely,Somewhat Sensitive,Likely,"Product Quality,Other",Better Loyalty Rewards,7,Night,Yes
18-24,Male,$3000-$4999,High School,Retired,1-2 times,$20-$49,Home & Kitchen,Mobile,Reviews,Likely,No,Neutral,<$5,No,Maybe,Security Concerns,Always,Somewhat Sensitive,Very Likely,"Other,Delivery Delays","Live Chat Support,One-Click Checkout",7,Afternoon,Yes
35-44,Female,$3000-$4999,High School,Student,1-2 times,$20-$49,"Electronics,Groceries",Mobile,Price,Neutral,Maybe,Unlikely,$10-19,Sometimes,No,Security Concerns,Rarely,Very Sensitive,Likely,Poor Customer Service,"Flexible Returns,Live Chat Support",7,Afternoon,Yes
35-44,Female,$3000-$4999,Master’s,Employed,1-2 times,<$20,"Home & Kitchen,Electronics,Health & Beauty",Mobile,Price,Unlikely,Maybe,Neutral,<$5,Yes,Yes,Complicated Checkout,Always,Somewhat Sensitive,Likely,Payment Issues,"AR Product Previews,Better Loyalty Rewards",10,Afternoon,Yes
35-44,Male,$1000-$2999,Bachelor’s,Student,6-10 times,$20-$49,"Fashion,Electronics",Desktop/Laptop,Price,Unlikely,Yes,Very Likely,<$5,No,Yes,Other,Rarely,Neutral,Neutral,"Lack of Variety,Product Quality",One-Click Checkout,8,Afternoon,No
45-54,Male,$1000-$2999,Other,Retired,6-10 times,$50-$99,"Home & Kitchen,Electronics",Mobile,Product Range,Very Unlikely,Yes,Very Unlikely,<$5,No,Yes,High Shipping Costs,Sometimes,Neutral,Likely,Other,One-Click Checkout,6,Afternoon,Yes
25-34,Male,$3000-$4999,Bachelor’s,Retired,1-2 times,$50-$99,"Electronics,Fashion",Desktop/Laptop,Brand,Likely,Yes,Very Unlikely,<$5,No,Yes,Complicated Checkout,Sometimes,Neutral,Likely,"Product Quality,Payment Issues","Better Loyalty Rewards,One-Click Checkout,Flexible Returns",1,Afternoon,No
55+,Male,$3000-$4999,Master’s,Employed,3-5 times,$20-$49,"Fashion,Health & Beauty,Groceries",Desktop/Laptop,Discounts,Neutral,Yes,Very Unlikely,<$5,Yes,No,High Shipping Costs,Rarely,Very Sensitive,Neutral,Payment Issues,"One-Click Checkout,Live Chat Support",4,Evening,No
35-44,Female,$5000-$9999,High School,Retired,6-10 times,$20-$49,"Groceries,Fashion",Mobile,Discounts,Neutral,No,Neutral,$5-9,No,No,Slow Delivery,Rarely,Somewhat Sensitive,Likely,"Lack of Variety,Product Quality,Poor Customer Service","AR Product Previews,Other,Flexible Returns",3,Evening,No
55+,Male,<$1000,High School,Employed,10+ times,<$20,Other,Tablet,Discounts,Unlikely,No,Likely,$20+,Yes,No,Slow Delivery,Often,Somewhat Sensitive,Likely,"Payment Issues,Product Quality,Delivery Delays","Live Chat Support,Flexible Returns,Better Loyalty Rewards",9,Morning,Yes
35-44,Female,<$1000,High School,Student,6-10 times,$50-$99,Fashion,Desktop/Laptop,Discounts,Very Likely,Yes,Unlikely,<$5,Sometimes,Maybe,Complicated Checkout,Sometimes,Somewhat Sensitive,Neutral,"Lack of Variety,Other,Payment Issues","Live Chat Support,Better Loyalty Rewards",7,Morning,No
25-34,Female,$5000-$9999,Master’s,Employed,10+ times,$200+,"Fashion,Health & Beauty,Home & Kitchen",Mobile,Discounts,Unlikely,Maybe,Unlikely,None,Sometimes,Yes,Changed Mind,Rarely,Not Very Sensitive,Very Likely,"Lack of Variety,Delivery Delays",Flexible Returns,1,Afternoon,No
35-44,Female,"$10,000+",High School,Employed,6-10 times,$50-$99,"Fashion,Electronics",Mobile,Brand,Neutral,No,Likely,$20+,Sometimes,No,Slow Delivery,Always,Very Sensitive,Likely,"Payment Issues,Product Quality","Better Loyalty Rewards,Live Chat Support",6,Evening,No
25-34,Female,$3000-$4999,Doctorate,Student,6-10 times,$100-$199,"Groceries,Electronics,Health & Beauty",Mobile,Discounts,Likely,No,Unlikely,$5-9,Sometimes,No,High Shipping Costs,Always,Somewhat Sensitive,Unlikely,Other,"Other,Flexible Returns",5,Evening,No
25-34,Male,$1000-$2999,Master’s,Employed,1-2 times,$20-$49,Electronics,Desktop/Laptop,Brand,Likely,Yes,Likely,$5-9,Yes,No,Security Concerns,Rarely,Neutral,Neutral,Delivery Delays,"Live Chat Support,One-Click Checkout",6,Evening,Maybe
45-54,Female,<$1000,High School,Employed,3-5 times,$20-$49,Groceries,Desktop/Laptop,Reviews,Likely,Maybe,Likely,<$5,Sometimes,Yes,Slow Delivery,Rarely,Not Very Sensitive,Likely,"Payment Issues,Lack of Variety,Product Quality",AR Product Previews,4,Morning,No
18-24,Male,"$10,000+",Doctorate,Student,3-5 times,$20-$49,"Fashion,Home & Kitchen,Groceries",Mobile,Delivery Speed,Neutral,Maybe,Likely,None,No,No,Slow Delivery,Always,Somewhat Sensitive,Very Likely,"Poor Customer Service,Delivery Delays,Other","Better Loyalty Rewards,One-Click Checkout",9,Morning,Maybe
45-54,Female,$1000-$2999,Doctorate,Employed,1-2 times,$50-$99,"Health & Beauty,Other",Mobile,Reviews,Very Unlikely,Yes,Unlikely,None,Yes,Yes,High Shipping Costs,Never,Very Sensitive,Likely,"Lack of Variety,Product Quality,Payment Issues","AR Product Previews,Live Chat Support,Other",8,Night,Maybe
35-44,Male,$5000-$9999,Bachelor’s,Employed,1-2 times,$100-$199,Electronics,Mobile,Discounts,Likely,Yes,Very Unlikely,$5-9,Sometimes,No,Complicated Checkout,Never,Somewhat Sensitive,Likely,"Product Quality,Delivery Delays","Better Loyalty Rewards,One-Click Checkout",3,Morning,No
35-44,Female,$3000-$4999,Master’s,Retired,6-10 times,$50-$99,"Electronics,Groceries",Mobile,Delivery Speed,Likely,Yes,Very Likely,None,Yes,No,Changed Mind,Sometimes,Very Sensitive,Likely,"Delivery Delays,Lack of Variety,Product Quality",Other,8,Night,Yes
25-34,Male,$1000-$2999,Bachelor’s,Employed,3-5 times,$20-$49,"Home & Kitchen,Electronics",Mobile,Reviews,Neutral,Yes,Neutral,None,Sometimes,No,High Shipping Costs,Often,Very Sensitive,Likely,Poor Customer Service,"Other,AR Product Previews,Live Chat Support",4,Afternoon,Yes
25-34,Male,$3000-$4999,Bachelor’s,Self-employed,6-10 times,<$20,"Groceries,Fashion,Other",Mobile,Delivery Speed,Likely,No,Likely,$10-19,No,Maybe,Slow Delivery,Sometimes,Very Sensitive,Likely,Product Quality,"One-Click Checkout,Flexible Returns",10,Night,No
35-44,Male,$3000-$4999,Doctorate,Employed,3-5 times,$20-$49,"Fashion,Groceries",Mobile,Reviews,Neutral,Maybe,Likely,$5-9,No,Yes,Complicated Checkout,Sometimes,Somewhat Sensitive,Neutral,"Lack of Variety,Payment Issues","Live Chat Support,Better Loyalty Rewards,One-Click Checkout",7,Evening,Yes
35-44,Female,"$10,000+",Bachelor’s,Employed,6-10 times,$50-$99,"Electronics,Groceries,Books",Mobile,Price,Likely,Maybe,Neutral,None,No,Maybe,Changed Mind,Sometimes,Very Sensitive,Likely,"Product Quality,Delivery Delays",One-Click Checkout,6,Morning,No
45-54,Female,$1000-$2999,Bachelor’s,Employed,3-5 times,$100-$199,"Fashion,Other,Groceries",Mobile,Brand,Very Unlikely,Yes,Neutral,<$5,Yes,No,Complicated Checkout,Often,Neutral,Unlikely,Delivery Delays,"One-Click Checkout,Flexible Returns",4,Night,Yes
25-34,Male,$1000-$2999,Bachelor’s,Employed,10+ times,$20-$49,"Other,Groceries,Electronics",Desktop/Laptop,Delivery Speed,Likely,No,Likely,None,No,Yes,Security Concerns,Rarely,Somewhat Sensitive,Very Likely,"Other,Poor Customer Service,Delivery Delays",AR Product Previews,8,Morning,Maybe
35-44,Male,$3000-$4999,Master’s,Employed,3-5 times,$100-$199,"Books,Electronics,Groceries",Desktop/Laptop,Product Range,Very Likely,Yes,Very Likely,<$5,Sometimes,Maybe,Slow Delivery,Never,Very Sensitive,Very Likely,Other,One-Click Checkout,6,Evening,Yes
45-54,Male,$5000-$9999,Bachelor’s,Employed,6-10 times,$200+,"Fashion,Electronics",Mobile,Discounts,Likely,No,Very Unlikely,$5-9,Yes,No,Slow Delivery,Sometimes,Somewhat Sensitive,Very Likely,"Lack of Variety,Other",AR Product Previews,8,Night,Yes
35-44,Female,$3000-$4999,Bachelor’s,Employed,6-10 times,$20-$49,Fashion,Mobile,Discounts,Neutral,Yes,Likely,$10-19,Sometimes,Maybe,Changed Mind,Always,Somewhat Sensitive,Very Likely,"Product Quality,Poor Customer Service",One-Click Checkout,7,Evening,Maybe
35-44,Male,$3000-$4999,Master’s,Self-employed,6-10 times,$50-$99,"Books,Groceries",Mobile,Product Range,Very Likely,Maybe,Very Likely,<$5,Sometimes,No,High Shipping Costs,Rarely,Somewhat Sensitive,Likely,Other,Live Chat Support,9,Afternoon,Maybe
25-34,Male,$3000-$4999,Bachelor’s,Employed,6-10 times,$100-$199,Groceries,Mobile,Price,Likely,Yes,Unlikely,$5-9,No,Yes,Complicated Checkout,Rarely,Very Sensitive,Neutral,Product Quality,"Flexible Returns,One-Click Checkout,Other",5,Evening,Yes
45-54,Female,$3000-$4999,Bachelor’s,Employed,1-2 times,$20-$49,Home & Kitchen,Mobile,Product Range,Likely,Maybe,Very Likely,$10-19,Sometimes,Yes,Slow Delivery,Sometimes,Very Sensitive,Likely,Payment Issues,Other,1,Evening,No
55+,Male,$1000-$2999,High School,Employed,3-5 times,$100-$199,Groceries,Desktop/Laptop,Brand,Neutral,Yes,Likely,<$5,Yes,No,Changed Mind,Often,Very Sensitive,Very Likely,"Poor Customer Service,Payment Issues","One-Click Checkout,Live Chat Support",5,Evening,Yes
35-44,Female,$1000-$2999,High School,Student,1-2 times,$50-$99,"Groceries,Health & Beauty,Other",Mobile,Price,Neutral,No,Unlikely,$5-9,Sometimes,Yes,Slow Delivery,Sometimes,Not Very Sensitive,Neutral,"Lack of Variety,Poor Customer Service,Payment Issues","Flexible Returns,Better Loyalty Rewards",6,Morning,Maybe
18-24,Female,$5000-$9999,Doctorate,Student,3-5 times,$50-$99,Groceries,Tablet,Reviews,Very Likely,No,Very Unlikely,None,Yes,Yes,Security Concerns,Sometimes,Somewhat Sensitive,Unlikely,"Payment Issues,Product Quality,Poor Customer Service","Live Chat Support,One-Click Checkout,AR Product Previews",7,Afternoon,Yes
25-34,Female,$3000-$4999,Other,Employed,3-5 times,$20-$49,"Home & Kitchen,Books",Mobile,Brand,Very Likely,Maybe,Very Likely,$10-19,Yes,No,Complicated Checkout,Never,Somewhat Sensitive,Likely,Payment Issues,One-Click Checkout,6,Afternoon,Maybe
35-44,Female,$3000-$4999,Bachelor’s,Employed,Never,$20-$49,"Home & Kitchen,Groceries",Mobile,Price,Unlikely,No,Very Likely,<$5,Yes,No,Changed Mind,Rarely,Not Very Sensitive,Likely,"Product Quality,Other,Lack of Variety",Flexible Returns,5,Afternoon,No
55+,Female,$3000-$4999,Master’s,Employed,1-2 times,$50-$99,"Home & Kitchen,Fashion",Mobile,Delivery Speed,Very Likely,No,Very Likely,$5-9,Sometimes,Yes,Complicated Checkout,Sometimes,Very Sensitive,Likely,"Delivery Delays,Other","Better Loyalty Rewards,Other,One-Click Checkout",4,Afternoon,Maybe
35-44,Female,$1000-$2999,Bachelor’s,Employed,6-10 times,$100-$199,"Groceries,Books",Mobile,Reviews,Unlikely,Yes,Unlikely,$5-9,Yes,Maybe,Slow Delivery,Often,Very Sensitive,Very Unlikely,"Payment Issues,Lack of Variety,Other","Better Loyalty Rewards,Other",8,Evening,Yes
35-44,Male,$5000-$9999,Bachelor’s,Employed,1-2 times,$200+,"Health & Beauty,Books",Mobile,Price,Likely,Yes,Unlikely,None,Yes,Yes,High Shipping Costs,Sometimes,Not Very Sensitive,Neutral,"Lack of Variety,Delivery Delays,Payment Issues","AR Product Previews,Live Chat Support,Flexible Returns",4,Afternoon,Yes
55+,Female,$3000-$4999,Doctorate,Employed,1-2 times,$200+,"Home & Kitchen,Fashion",Mobile,Reviews,Unlikely,No,Neutral,$10-19,Sometimes,No,Slow Delivery,Often,Neutral,Likely,"Payment Issues,Product Quality,Lack of Variety",One-Click Checkout,1,Evening,Maybe
45-54,Male,<$1000,Bachelor’s,Employed,3-5 times,$50-$99,Health & Beauty,Mobile,Brand,Likely,Yes,Unlikely,$10-19,Sometimes,No,Slow Delivery,Often,Neutral,Unlikely,"Payment Issues,Lack of Variety",Better Loyalty Rewards,10,Evening,Yes
55+,Male,$3000-$4999,Master’s,Employed,3-5 times,$50-$99,"Fashion,Books",Desktop/Laptop,Discounts,Very Unlikely,Yes,Very Unlikely,$5-9,Yes,No,Slow Delivery,Rarely,Very Sensitive,Unlikely,Lack of Variety,"One-Click Checkout,Flexible Returns",6,Night,Yes
55+,Other,<$1000,Bachelor’s,Employed,6-10 times,$50-$99,Electronics,Mobile,Price,Neutral,Maybe,Likely,None,Sometimes,No,Security Concerns,Often,Somewhat Sensitive,Unlikely,Lack of Variety,"Better Loyalty Rewards,One-Click Checkout",5,Afternoon,Yes
55+,Male,<$1000,Other,Employed,6-10 times,<$20,"Books,Home & Kitchen,Fashion",Desktop/Laptop,Reviews,Very Likely,Yes,Unlikely,$10-19,No,Maybe,Other,Always,Somewhat Sensitive,Neutral,Delivery Delays,One-Click Checkout,10,Morning,No
35-44,Female,$3000-$4999,High School,Employed,1-2 times,$200+,"Groceries,Home & Kitchen,Books",Mobile,Discounts,Very Likely,Maybe,Likely,$5-9,Yes,No,Complicated Checkout,Never,Very Sensitive,Neutral,"Product Quality,Lack of Variety,Payment Issues","Live Chat Support,One-Click Checkout,Flexible Returns",8,Morning,Maybe
18-24,Female,$3000-$4999,Bachelor’s,Employed,1-2 times,$20-$49,"Other,Health & Beauty,Home & Kitchen",Mobile,Discounts,Likely,Yes,Unlikely,$5-9,Sometimes,Yes,High Shipping Costs,Sometimes,Not Very Sensitive,Neutral,"Poor Customer Service,Delivery Delays","Live Chat Support,AR Product Previews",8,Evening,Yes
35-44,Male,$1000-$2999,Doctorate,Self-employed,1-2 times,$20-$49,"Electronics,Home & Kitchen,Fashion",Tablet,Price,Likely,Maybe,Likely,None,Yes,Yes,Other,Never,Not Very Sensitive,Very Likely,"Other,Product Quality,Delivery Delays",Live Chat Support,6,Morning,Maybe
55+,Male,$3000-$4999,Master’s,Employed,3-5 times,$50-$99,"Electronics,Books",Mobile,Price,Likely,No,Unlikely,<$5,Sometimes,Yes,Security Concerns,Rarely,Somewhat Sensitive,Very Likely,"Payment Issues,Lack of Variety",Better Loyalty Rewards,5,Evening,Maybe
18-24,Female,$1000-$2999,Master’s,Student,6-10 times,$20-$49,Books,Mobile,Product Range,Likely,Yes,Likely,<$5,Yes,No,Slow Delivery,Always,Not Very Sensitive,Likely,"Lack of Variety,Other,Delivery Delays","AR Product Previews,Other",3,Afternoon,Maybe
55+,Female,"$10,000+",Bachelor’s,Retired,6-10 times,<$20,Fashion,Mobile,Reviews,Unlikely,Yes,Very Likely,None,Yes,Yes,Complicated Checkout,Rarely,Neutral,Very Likely,"Lack of Variety,Payment Issues","Other,Flexible Returns,One-Click Checkout",2,Evening,No
25-34,Female,$5000-$9999,Bachelor’s,Unemployed,1-2 times,$50-$99,"Home & Kitchen,Other",Mobile,Delivery Speed,Likely,Yes,Very Likely,$5-9,Yes,Yes,High Shipping Costs,Sometimes,Somewhat Sensitive,Likely,Other,"Other,Better Loyalty Rewards,Flexible Returns",6,Morning,No
45-54,Male,<$1000,High School,Employed,3-5 times,$20-$49,"Fashion,Books",Mobile,Reviews,Likely,Maybe,Likely,None,Yes,No,Slow Delivery,Rarely,Not Very Sensitive,Likely,"Other,Delivery Delays,Payment Issues","AR Product Previews,Live Chat Support,Flexible Returns",2,Evening,No
25-34,Male,$3000-$4999,Bachelor’s,Unemployed,10+ times,$50-$99,Fashion,Desktop/Laptop,Price,Neutral,No,Very Unlikely,$5-9,Sometimes,Yes,Complicated Checkout,Rarely,Neutral,Neutral,"Other,Product Quality,Payment Issues","Flexible Returns,AR Product Previews",7,Night,No
55+,Male,$5000-$9999,High School,Employed,3-5 times,$20-$49,"Health & Beauty,Groceries",Desktop/Laptop,Brand,Unlikely,No,Unlikely,$5-9,Yes,Maybe,High Shipping Costs,Sometimes,Not Very Sensitive,Very Unlikely,"Product Quality,Payment Issues","One-Click Checkout,Live Chat Support,AR Product Previews",10,Afternoon,Yes
35-44,Female,$3000-$4999,Bachelor’s,Employed,1-2 times,$20-$49,"Books,Health & Beauty,Home & Kitchen",Desktop/Laptop,Product Range,Unlikely,No,Neutral,$5-9,No,Yes,Slow Delivery,Sometimes,Very Sensitive,Neutral,Product Quality,"One-Click Checkout,Better Loyalty Rewards",4,Evening,No
45-54,Other,<$1000,Bachelor’s,Employed,1-2 times,$100-$199,"Groceries,Health & Beauty",Mobile,Price,Very Likely,Yes,Neutral,$5-9,No,Yes,High Shipping Costs,Sometimes,Neutral,Very Likely,"Product Quality,Lack of Variety,Other",AR Product Previews,3,Evening,No
35-44,Male,$3000-$4999,Bachelor’s,Employed,6-10 times,<$20,"Books,Groceries",Mobile,Price,Likely,No,Neutral,<$5,Sometimes,No,Security Concerns,Never,Not Very Sensitive,Neutral,"Payment Issues,Product Quality","Flexible Returns,One-Click Checkout,Live Chat Support",5,Evening,Yes
45-54,Female,$3000-$4999,Bachelor’s,Retired,1-2 times,$20-$49,"Health & Beauty,Home & Kitchen",Mobile,Discounts,Neutral,Yes,Unlikely,$5-9,Yes,Yes,Security Concerns,Never,Neutral,Neutral,"Other,Product Quality","Better Loyalty Rewards,One-Click Checkout,Flexible Returns",3,Night,Yes
25-34,Female,$1000-$2999,Bachelor’s,Employed,1-2 times,<$20,"Home & Kitchen,Electronics",Mobile,Product Range,Very Likely,No,Likely,$5-9,Yes,Yes,High Shipping Costs,Rarely,Neutral,Likely,"Product Quality,Other,Lack of Variety","Live Chat Support,AR Product Previews",6,Morning,No
35-44,Male,$5000-$9999,High School,Self-employed,1-2 times,$50-$99,Electronics,Mobile,Reviews,Unlikely,No,Likely,$10-19,Sometimes,No,Security Concerns,Rarely,Somewhat Sensitive,Unlikely,"Poor Customer Service,Lack of Variety",Better Loyalty Rewards,9,Morning,Yes
55+,Female,$3000-$4999,Master’s,Employed,6-10 times,$20-$49,"Other,Groceries,Home & Kitchen",Mobile,Price,Unlikely,No,Very Unlikely,<$5,Yes,Yes,Slow Delivery,Never,Neutral,Very Likely,"Product Quality,Poor Customer Service","Live Chat Support,AR Product Previews",7,Afternoon,Yes
35-44,Male,"$10,000+",Bachelor’s,Employed,3-5 times,$200+,"Health & Beauty,Electronics",Desktop/Laptop,Delivery Speed,Neutral,No,Unlikely,<$5,Sometimes,Yes,Changed Mind,Sometimes,Very Sensitive,Likely,"Poor Customer Service,Product Quality,Delivery Delays","Live Chat Support,Better Loyalty Rewards",8,Afternoon,No
35-44,Female,$1000-$2999,Doctorate,Employed,6-10 times,$20-$49,Home & Kitchen,Desktop/Laptop,Brand,Neutral,Yes,Likely,None,Sometimes,No,Changed Mind,Sometimes,Somewhat Sensitive,Very Likely,"Delivery Delays,Product Quality,Other",Better Loyalty Rewards,6,Night,Maybe
25-34,Male,$5000-$9999,High School,Employed,1-2 times,$20-$49,"Groceries,Fashion",Mobile,Product Range,Very Likely,Yes,Very Unlikely,$5-9,Yes,No,High Shipping Costs,Often,Neutral,Unlikely,"Delivery Delays,Product Quality,Other","Better Loyalty Rewards,One-Click Checkout,Other",7,Morning,Yes
25-34,Male,$3000-$4999,Master’s,Employed,1-2 times,$50-$99,Health & Beauty,Desktop/Laptop,Product Range,Likely,Yes,Neutral,$20+,No,Yes,Complicated Checkout,Rarely,Not at All Sensitive,Neutral,"Product Quality,Payment Issues,Poor Customer Service","Other,Better Loyalty Rewards",10,Evening,No
18-24,Female,$3000-$4999,Bachelor’s,Employed,3-5 times,$100-$199,Home & Kitchen,Desktop/Laptop,Delivery Speed,Very Unlikely,Yes,Very Unlikely,$5-9,Sometimes,Yes,Changed Mind,Sometimes,Neutral,Very Likely,"Other,Delivery Delays","Flexible Returns,Better Loyalty Rewards,One-Click Checkout",8,Morning,No
35-44,Male,$3000-$4999,Bachelor’s,Retired,3-5 times,$200+,"Health & Beauty,Home & Kitchen,Fashion",Mobile,Discounts,Very Likely,Yes,Very Likely,<$5,Yes,Maybe,Complicated Checkout,Rarely,Very Sensitive,Very Unlikely,"Delivery Delays,Poor Customer Service,Product Quality","AR Product Previews,One-Click Checkout,Live Chat Support",8,Night,Yes
55+,Female,$1000-$2999,Bachelor’s,Employed,1-2 times,$20-$49,Home & Kitchen,Mobile,Brand,Very Unlikely,No,Likely,<$5,Sometimes,Yes,Slow Delivery,Rarely,Neutral,Likely,Lack of Variety,"AR Product Previews,One-Click Checkout",5,Evening,Yes
25-34,Male,$3000-$4999,Master’s,Employed,1-2 times,$200+,"Electronics,Other,Fashion",Desktop/Laptop,Brand,Very Likely,Yes,Likely,$5-9,No,Yes,Slow Delivery,Sometimes,Somewhat Sensitive,Likely,"Delivery Delays,Poor Customer Service","One-Click Checkout,Better Loyalty Rewards",9,Evening,No
25-34,Other,$5000-$9999,Bachelor’s,Employed,1-2 times,$20-$49,"Fashion,Home & Kitchen,Electronics",Mobile,Brand,Likely,Maybe,Likely,<$5,Yes,Yes,Complicated Checkout,Rarely,Somewhat Sensitive,Likely,"Other,Product Quality,Delivery Delays","Better Loyalty Rewards,Flexible Returns",4,Afternoon,Maybe
18-24,Male,$1000-$2999,Bachelor’s,Employed,1-2 times,$20-$49,"Groceries,Health & Beauty",Mobile,Discounts,Unlikely,No,Unlikely,<$5,Sometimes,Yes,Slow Delivery,Rarely,Not Very Sensitive,Very Unlikely,Payment Issues,"Flexible Returns,Live Chat Support,Better Loyalty Rewards",6,Morning,Yes
18-24,Female,"$10,000+",Other,Employed,3-5 times,$100-$199,Fashion,Mobile,Brand,Neutral,No,Unlikely,<$5,Sometimes,Yes,Changed Mind,Rarely,Very Sensitive,Very Unlikely,Product Quality,Flexible Returns,3,Morning,No
25-34,Female,"$10,000+",Master’s,Employed,6-10 times,$100-$199,Electronics,Mobile,Brand,Neutral,Maybe,Very Likely,None,Yes,Yes,Slow Delivery,Often,Somewhat Sensitive,Very Likely,Product Quality,"Other,Flexible Returns,One-Click Checkout",7,Morning,Maybe
35-44,Male,$5000-$9999,Master’s,Employed,3-5 times,$50-$99,"Groceries,Electronics",Mobile,Price,Unlikely,Yes,Very Likely,<$5,Yes,No,Changed Mind,Rarely,Very Sensitive,Likely,Delivery Delays,AR Product Previews,4,Evening,No
